,src_text,target_text
0,"Story: Rick grew up in a troubled household.He never found good support in family, and turned to gangs.It wasn't long before Rick got shot in a robbery.The incident caused him to turn a new leaf.
Choose a right ending of the Story: 1) He is happy now. 2) He joined a gang.",1
1,"Story: Laverne needs to prepare something for her friend's party.She decides to bake a batch of brownies.She chooses a recipe and follows it closely.Laverne tests one of the brownies to make sure it is delicious.
Choose a right ending of the Story: 1) The brownies are so delicious Laverne eats two of them. 2) Laverne doesn't go to her friend's party.",1
2,"Story: Sarah had been dreaming of visiting Europe for years.She had finally saved enough for the trip.She landed in Spain and traveled east across the continent.She didn't like how different everything was.
Choose a right ending of the Story: 1) Sarah then decided to move to Europe. 2) Sarah decided that she preferred her home over Europe.",2
3,"Story: Gina was worried the cookie dough in the tube would be gross.She was very happy to find she was wrong.The cookies from the tube were as good as from scratch.Gina intended to only eat 2 cookies and save the rest.
Choose a right ending of the Story: 1) Gina liked the cookies so much she ate them all in one sitting. 2) Gina gave the cookies away at her church.",1
4,"Story: It was  my final performance in marching band.I was playing the snare drum in the band.We played Thriller and Radar Love.The performance was flawless.
Choose a right ending of the Story: 1) I was very proud of my performance. 2) I was very ashamed of my performance.",1
5,"Story: Jim found an old disposable camera in the bottom of his junk drawer.He began snapping away at everything around him.The counter clicked down to one final photo.The gravity of the situation began to dawn on Jim.
Choose a right ending of the Story: 1) Jim took time to decide what he would take a picture of. 2) Jim took 20 more photos.",1
6,"Story: Ron started his new job as a landscaper today.He loves the outdoors and has always enjoyed working in it.His boss tells him to re-sod the front yard of the mayor's home.Ron is ecstatic, but does a thorough job and finishes super early.
Choose a right ending of the Story: 1) Ron is immediately fired for insubordination. 2) His boss commends him for a job well done.",2
7,"Story: John and Billy became very skilled at beer pong.They entered a contest in college.They won the contest and advanced to the next level.The next level sent them to Vegas.
Choose a right ending of the Story: 1) In Vegas, John and Billy competed against eighty contestants. 2) John and Billy were disappointed.",1
8,"Story: Caroline was a student in medical school.Caroline worked very hard to get good grades.One day Caroline failed a test by one point.Caroline was very frustrated but she continued to study hard.
Choose a right ending of the Story: 1) But she gave up. 2) Later, she passed the test.",2
9,"Story: Trish hated the outdoors.Her friends convinced her to go camping.She wasn't having a good time.They showed her how to fish and showed her the stars.
Choose a right ending of the Story: 1) Eventually Trish grudgingly came to accept nature. 2) The fish had very interesting mating habits.",1
10,"Story: Tony was happy to be going on his first cruise.He arrived at the docks and was ready with all his luggage.When he walked around the corner he couldn't believe the size of it.He boarded and the ship left the docks.
Choose a right ending of the Story: 1) Tony enjoyed going on the cruise. 2) Tony was scared of the ocean.",1
11,"Story: Ignacio wants to play a sport while he is in college.Since he was a good swimmer, he decides to try out for swim the team.Ignacio makes it onto the team easily.At the first swim meet, Ignacio wins second place!
Choose a right ending of the Story: 1) Ignacio gave up swimming. 2) Ignacio won a silver medal.",2
12,"Story: Danny bought a boat.His nearby marina was having a race.He decided to enter.Danny and his best friend manned the boat.
Choose a right ending of the Story: 1) Danny decided to go to sleep. 2) They prepared for the start of the race.",2
13,"Story: At school, Mary received an assignment to write an essay about pandas.Luckily, Mary loved pandas, as was excited to get started.As soon as she got home, Mary booted up her computer and began.She wrote about all she knew and researched a little too!
Choose a right ending of the Story: 1) Mary disliked Pandas. 2) Mary couldn't wait to present her report.",2
14,"Story: Ellen dreamed of winning a prize for her roses.She planned to enter her special purple rose at the fair.She fertilized the rose bush and covered it each night.The roses grew more beautiful every day.
Choose a right ending of the Story: 1) Ellen ended up winning the prize. 2) Ellen had to pay a replacement fee for her library card.",1
15,"Story: Jesse had just started fifth grade.He tried to make friends with the other boys, but he couldn't.He decided to make friends with the girls instead.They girls welcomed him into their social groups happily.
Choose a right ending of the Story: 1) Jesse went to the park with his new friend, Roger. 2) Jesse was picked on by the other boys in school.",2
16,"Story: Tiffany was getting overwhelmed at work.While she liked her job, she longed for a break.One day, she tripped outside on uneven pavement.She broke her ankle and had to be off work for a couple months.
Choose a right ending of the Story: 1) Tiffany went in to work the next day. 2) She was in pain but happy to not have to go to work.",2
17,"Story: Gina misplaced her phone at her grandparents.It wasn't in the living room.She had been in the car before napping in the living room.She grabbed her dad's keys and ran outside.
Choose a right ending of the Story: 1) But she didn't want her phone anymore. 2) She found her phone in the car.",2
18,"Story: Alice was getting married in a few weeks.One night, her mother called and she forgot to call her back.Her mother left an angry message on her phone.She threatened not to come to the wedding.
Choose a right ending of the Story: 1) Alice called her mother and apologized profusely. 2) Alice messaged a cute guy she saw on Tinder.",1
19,"Story: Ted loves to go to the movies.He sees almost everyone and votes at the Oscars.He has a big party for the Oscars and they all place bets.Ted almost always wins with the movies he chooses.
Choose a right ending of the Story: 1) Ted continues to watch several movies a week. 2) He decides to stop watching movies.",1
20,"Story: Nya had been asked on a paintball trip with friends.She was nervous about going.But she went anyways, hoping to have fun.She shot paintballs at her friends and laughed the whole time.
Choose a right ending of the Story: 1) She loved it so much she planned a trip for the next week. 2) She was shot and vowed to never go there again.",1
21,"Story: All of Javier's friends at school have smartphones.However, he still uses an old style flip phone.One day he decides to buy a smartphone too.At first he loves having the access to internet everywhere he goes.
Choose a right ending of the Story: 1) Javier decides to get a smartphone. 2) But then he misses his old phone.",2
22,"Story: Rachel decided to donate blood at the local blood drive.She was a little nervous because this was her first time.The next day Rachel received a call from the doctor that she saw.The doctor told her that he had bad news.
Choose a right ending of the Story: 1) Rachel broke down in tears. 2) Rachel started moonwalking with excitement.",1
23,"Story: Ron was watching a high-speed chase on TV.The cop was chasing the bad guy through his neighborhood.It was terrifying!But then the cop caught the bad guy.
Choose a right ending of the Story: 1) Ron started collecting bottle caps. 2) Ron applauded the officer's performance.",2
24,"Story: Sam loved his old belt.He matched it with everything.Unfortunately he gained too much weight.It became too small.
Choose a right ending of the Story: 1) Sam went on a diet. 2) Sam was happy.",1
25,"Story: Larry bought a new motorcycle.He was excited to look cool.The first time he tried riding it he dropped it.He hurt his leg and had to go to the hospital.
Choose a right ending of the Story: 1) Larry loved going to the hospital. 2) Larry became careful.",2
26,"Story: I went on a blind date a few days ago.She was cute and friendly.We were set up through a co worker.We seem to have some things in common.
Choose a right ending of the Story: 1) Soon we were boyfriend and girlfriend and thinking of marriage. 2) We broke up right away.",1
27,"Story: Sammy's coffee grinder was broken.He needed something to crush up his coffee beans.He put his coffee beans in a plastic bag.He tried crushing them with a hammer.
Choose a right ending of the Story: 1) Sammy was not that into coffee. 2) It worked for Sammy.",2
28,"Story: Last week Jared was driving to work.He had been partying hard the night before.He didn't get any sleep.Before he knew it his car was facing oncoming traffic.
Choose a right ending of the Story: 1) Jared swerved quickly and managed to avoid a collision. 2) Jared decided to accelerate.",1
